Rank,Amt of Attendance,Amt of Goals,Amt of Goals in a Single Match,Amt of Players who Scored,Amt of Own Goals,Avg Age of Players when Scoring
1,"('Brazil', 21)","('Brazil', 229)","('Hungary', 'M-1982-05', 10)","('Brazil', 80)","('France', 6)","('Panama', 30.5)"
2,"('Italy', 18)","('Argentina', 137)","('Hungary', 'M-1954-06', 9)","('Italy', 64)","('Italy', 4)","('Cameroon', 29.9)"
3,"('Argentina', 17)","('West Germany', 131)","('Yugoslavia', 'M-1974-12', 9)","('France', 63)","('Germany', 3)","('Australia', 29.5)"
4,"('Mexico', 16)","('Italy', 128)","('Sweden', 'M-1938-13', 8)","('Argentina', 61)","('Portugal', 3)","('Serbia', 28.8)"
5,"('England', 15)","('France', 120)","('Uruguay', 'M-1950-15', 8)","('England', 48)","('United States', 3)","('Croatia', 28.6)"
6,"('Spain', 15)","('Spain', 99)","('Hungary', 'M-1954-13', 8)","('Spain', 48)","('Argentina', 2)","('Iceland', 28.5)"
7,"('France', 14)","('Germany', 95)","('Germany', 'M-2002-04', 8)","('West Germany', 43)","('Austria', 2)","('Iran', 28.1)"
8,"('Uruguay', 13)","('England', 91)","('Italy', 'M-1934-05', 7)","('Mexico', 42)","('Belgium', 2)","('El Salvador', 28.0)"
9,"('Sweden', 12)","('Hungary', 87)","('Brazil', 'M-1950-17', 7)","('Netherlands', 41)","('Croatia', 2)","('Ukraine', 28.0)"
10,"('Belgium', 12)","('Uruguay', 86)","('Uruguay', 'M-1954-09', 7)","('Sweden', 40)","('England', 2)","('Portugal', 27.9)"
11,"('Switzerland', 11)","('Netherlands', 86)","('Turkey', 'M-1954-14', 7)","('Belgium', 39)","('Hungary', 2)","('Czech Republic', 27.7)"
12,"('West Germany', 10)","('Sweden', 80)","('West Germany', 'M-1954-17', 7)","('Germany', 39)","('Paraguay', 2)","('Jamaica', 27.7)"
13,"('United States', 10)","('Belgium', 68)","('Austria', 'M-1954-19', 7)","('Uruguay', 39)","('Spain', 2)","('Slovakia', 27.6)"
14,"('Netherlands', 9)","('Yugoslavia', 60)","('France', 'M-1958-04', 7)","('Yugoslavia', 38)","('Brazil', 1)","('Bosnia and Herzegovina', 27.2)"
15,"('Chile', 9)","('Mexico', 60)","('Poland', 'M-1974-16', 7)","('Hungary', 36)","('Bulgaria', 1)","('Austria', 27.0)"
16,"('Hungary', 9)","('Soviet Union', 53)","('Portugal', 'M-2010-30', 7)","('Soviet Union', 32)","('Chile', 1)","('Japan', 27.0)"
17,"('Germany', 9)","('Switzerland', 50)","('Germany', 'M-2014-61', 7)","('Switzerland', 28)","('Costa Rica', 1)","('Scotland', 27.0)"
18,"('Yugoslavia', 9)","('Portugal', 49)","('Argentina', 'M-1930-11', 6)","('Chile', 25)","('East Germany', 1)","('Togo', 27.0)"
19,"('South Korea', 9)","('Poland', 46)","('Argentina', 'M-1930-16', 6)","('Portugal', 25)","('Iran', 1)","('Wales', 26.8)"
20,"('Poland', 8)","('Czechoslovakia', 44)","('Uruguay', 'M-1930-17', 6)","('Austria', 24)","('Netherlands', 1)","('Belgium', 26.7)"
21,"('Paraguay', 8)","('Austria', 43)","('Hungary', 'M-1938-04', 6)","('Czechoslovakia', 23)","('Nigeria', 1)","('Denmark', 26.7)"
22,"('Romania', 7)","('Chile', 40)","('Brazil', 'M-1938-06', 6)","('South Korea', 23)","('Norway', 1)","('Mexico', 26.7)"
23,"('Bulgaria', 7)","('United States', 35)","('Brazil', 'M-1950-19', 6)","('United States', 23)","('Panama', 1)","('Tunisia', 26.7)"
24,"('Austria', 7)","('Croatia', 35)","('West Germany', 'M-1954-24', 6)","('Paraguay', 22)","('Russia', 1)","('West Germany', 26.7)"
25,"('Portugal', 7)","('South Korea', 34)","('Czechoslovakia', 'M-1958-18', 6)","('Colombia', 20)","('Scotland', 1)","('Ecuador', 26.6)"
26,"('Scotland', 7)","('Colombia', 32)","('France', 'M-1958-34', 6)","('Croatia', 19)","('Senegal', 1)","('Greece', 26.6)"
27,"('Soviet Union', 7)","('Paraguay', 30)","('Hungary', 'M-1962-16', 6)","('Scotland', 19)","('Soviet Union', 1)","('Norway', 26.6)"
28,"('Czechoslovakia', 7)","('Denmark', 30)","('West Germany', 'M-1978-11', 6)","('Denmark', 18)","('Sweden', 1)","('Bulgaria', 26.5)"
29,"('Cameroon', 7)","('Romania', 30)","('Argentina', 'M-1978-36', 6)","('Poland', 18)","('Uruguay', 1)","('Costa Rica', 26.5)"
30,"('Japan', 6)","('Scotland', 25)","('Soviet Union', 'M-1986-05', 6)","('Nigeria', 17)","('West Germany', 1)","('Italy', 26.5)"
31,"('Nigeria', 6)","('Russia', 24)","('Denmark', 'M-1986-24', 6)","('Romania', 17)","('Algeria', 0)","('Ivory Coast', 26.5)"
32,"('Colombia', 6)","('Nigeria', 23)","('Russia', 'M-1994-31', 6)","('Bulgaria', 14)","('Angola', 0)","('Serbia and Montenegro', 26.5)"
33,"('Costa Rica', 5)","('Bulgaria', 22)","('Spain', 'M-1998-40', 6)","('Costa Rica', 14)","('Australia', 0)","('Peru', 26.4)"
34,"('Tunisia', 5)","('Peru', 21)","('Argentina', 'M-2006-21', 6)","('Japan', 14)","('Bolivia', 0)","('Russia', 26.3)"
35,"('Denmark', 5)","('Japan', 20)","('England', 'M-2018-30', 6)","('Russia', 14)","('Bosnia and Herzegovina', 0)","('Spain', 26.3)"
36,"('Peru', 5)","('Turkey', 20)","('Germany', 'M-1934-03', 5)","('Tunisia', 12)","('Cameroon', 0)","('Brazil', 26.2)"
37,"('Iran', 5)","('Costa Rica', 19)","('Poland', 'M-1938-06', 5)","('Morocco', 11)","('Colombia', 0)","('Republic of Ireland', 26.2)"
38,"('Morocco', 5)","('Cameroon', 18)","('Hungary', 'M-1938-15', 5)","('Peru', 11)","('Cuba', 0)","('Turkey', 26.2)"
39,"('Croatia', 5)","('Morocco', 14)","('Chile', 'M-1950-12', 5)","('Turkey', 11)","('Czech Republic', 0)","('England', 26.1)"
40,"('Russia', 4)","('Ghana', 13)","('Brazil', 'M-1954-01', 5)","('Algeria', 10)","('Czechoslovakia', 0)","('Sweden', 26.1)"
41,"('Saudi Arabia', 4)","('Ivory Coast', 13)","('Austria', 'M-1954-11', 5)","('Cameroon', 10)","('Denmark', 0)","('Angola', 26.0)"
42,"('Australia', 4)","('Northern Ireland', 13)","('Switzerland', 'M-1954-19', 5)","('Iran', 9)","('Ecuador', 0)","('Egypt', 26.0)"
43,"('South Africa', 3)","('Tunisia', 13)","('Brazil', 'M-1958-32', 5)","('Ivory Coast', 9)","('Egypt', 0)","('Germany', 26.0)"
44,"('Northern Ireland', 3)","('Australia', 13)","('Brazil', 'M-1958-35', 5)","('South Africa', 9)","('El Salvador', 0)","('Honduras', 26.0)"
45,"('Ecuador', 3)","('Algeria', 13)","('Yugoslavia', 'M-1962-21', 5)","('Republic of Ireland', 8)","('Ghana', 0)","('Netherlands', 26.0)"
46,"('Algeria', 3)","('South Africa', 11)","('West Germany', 'M-1966-02', 5)","('Saudi Arabia', 8)","('Greece', 0)","('Slovenia', 26.0)"
47,"('Egypt', 3)","('Saudi Arabia', 11)","('Portugal', 'M-1966-26', 5)","('Senegal', 8)","('Haiti', 0)","('Uruguay', 26.0)"
48,"('Republic of Ireland', 3)","('Senegal', 11)","('West Germany', 'M-1970-16', 5)","('Australia', 6)","('Honduras', 0)","('South Korea', 25.9)"
49,"('Norway', 3)","('Ecuador', 10)","('Netherlands', 'M-1978-25', 5)","('Ghana', 6)","('Iceland', 0)","('Chile', 25.8)"
50,"('Ghana', 3)","('Republic of Ireland', 10)","('Scotland', 'M-1982-06', 5)","('Northern Ireland', 6)","('Iraq', 0)","('France', 25.8)"
